"Table with row headers in column A and column headers in rows 8 through 9, 12 through 13, 19 through 20, 35 through 36, 47 through 48, 60 through 61, 71 through 72, 81 through 82, 95 through 96, and 109 through 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HINC-01. Selected Characteristics of Households, by Total Money Income in 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are based on Redesigned income questions and CPS ASEC sample of 30,000 addresses, see footnote.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2014 Annual Social and Economic Supplement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 income intervals. The Gini index is calculated using micro-sorted data.  Medians falling in the upper open-ended interval are plugged with ""$250,000"".  Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total ,"Under $5,000","$5,000 to  $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value
(Dol.)","Standard
error (Dol.)","Value
(Dol.)","Standard
error (Dol.)",Ratio,"Standard
error","Value
(Dol.)","Standard
error (Dol.)"
All Households,"123,931","4,253","4,586","6,891","7,085","6,909","6,282","5,988","5,583","5,692","5,009","4,742","4,304","4,915","3,687","3,782","3,548","3,312","2,750","2,687","2,317","2,520","2,019","1,973","1,615","1,605","1,382","1,334","1,182","1,056","1,085","1,316",769,764,765,724,628,757,512,443,347,"6,811","53,585",654,"75,195",664,0.482,0.0037,"29,747",260
TYPE OF RESIDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside metropolitan statistical areas,"104,128","3,494","3,527","5,504","5,826","5,635","4,969","5,016","4,545","4,592","4,202","3,929","3,747","4,200","2,951","3,157","2,970","2,720","2,375","2,350","1,946","2,147","1,684","1,688","1,404","1,421","1,210","1,171","1,037",926,933,"1,163",689,700,659,672,577,705,487,375,324,"6,502","55,884",493,"78,502",777,0.483,0.0041,"30,794",299
..Inside principal cities,"41,360","1,752","1,892","2,601","2,628","2,437","2,225","2,099","1,903","1,878","1,645","1,598","1,456","1,639","1,006","1,169",980,"1,109",849,823,662,734,600,564,423,471,488,410,415,260,272,369,225,203,205,202,221,279,202,105,103,"2,257","48,806",985,"71,589","1,330",0.503,0.0060,"29,285",543
..Outside principal cities,"62,768","1,742","1,635","2,903","3,198","3,198","2,744","2,917","2,641","2,714","2,558","2,331","2,290","2,561","1,945","1,989","1,989","1,611","1,526","1,527","1,284","1,412","1,084","1,124",980,950,722,761,622,666,662,794,464,497,453,471,357,426,285,270,221,"4,245","60,787",569,"83,057","1,014",0.469,0.0056,"31,723",376
Outside metropolitan statistical areas (4),"19,802",760,"1,059","1,387","1,259","1,275","1,312",972,"1,038","1,100",806,814,557,715,735,625,579,592,375,338,370,373,335,285,211,184,172,163,145,130,152,153,80,64,107,52,50,53,26,68,23,309,"43,601","1,067","57,804","1,053",0.448,0.0079,"23,933",491
REGION/DIVISIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"22,511",618,782,"1,306","1,474","1,157",940,"1,099",894,927,985,760,695,864,543,683,665,571,455,513,400,506,372,402,337,261,323,218,219,185,192,322,143,237,131,117,127,157,89,88,81,"1,672","56,868","1,558","82,252","2,037",0.494,0.0094,"33,337",811
..New England,"5,821",99,153,264,395,279,189,289,244,228,215,181,225,220,174,213,178,131,118,125,104,142,110,96,98,54,77,85,88,76,51,84,48,46,44,36,27,49,23,36,31,499,"62,924","2,780","89,687","3,778",0.481,0.0141,"35,617","1,375"
..Middle Atlantic,"16,690",519,629,"1,042","1,079",878,751,811,650,699,770,579,470,644,369,470,488,441,337,388,295,363,262,306,239,207,246,133,131,110,141,239,95,191,87,81,100,107,66,52,50,"1,173","54,278","2,284","79,658","2,446",0.498,0.0118,"32,519","1,020"
Midwest,"27,426","1,035","1,061","1,451","1,749","1,456","1,319","1,292","1,134","1,427",998,"1,101","1,038","1,002",953,768,783,781,611,663,546,543,450,410,354,371,310,407,214,218,242,239,164,181,213,149,145,137,114,116,91,"1,190","53,426","1,278","72,751","1,476",0.474,0.0076,"29,891",576
..East North Central,"19,053",765,752,986,"1,174","1,016",872,928,803,"1,015",718,830,741,744,698,501,526,515,393,446,351,364,308,262,220,254,202,295,124,148,190,176,99,112,150,98,98,101,103,95,50,832,"52,723","1,409","73,423","2,008",0.484,0.0102,"30,272",792
..West North Central,"8,373",270,309,465,575,440,448,364,331,412,280,271,297,258,255,268,257,266,219,217,195,179,142,148,133,117,108,113,90,69,52,63,66,69,63,51,47,36,10,22,42,358,"55,332","1,917","71,221","1,665",0.451,0.0079,"29,033",614
South,"46,553","1,769","1,923","2,651","2,595","2,861","2,591","2,551","2,294","2,217","1,874","1,846","1,659","1,945","1,342","1,490","1,434","1,215","1,026",906,842,885,671,680,490,553,454,365,417,374,383,401,247,219,249,235,203,208,197,113,72,"2,103","49,854",811,"69,372","1,128",0.479,0.0061,"27,591",443
..South Atlantic,"24,789",995,988,"1,344","1,325","1,387","1,259","1,341","1,197","1,189",921,907,882,"1,191",716,772,737,680,553,553,406,421,353,367,276,292,254,219,265,237,228,244,127,144,123,126,128,104,70,72,36,"1,357","51,834","1,037","71,712","1,355",0.476,0.0065,"29,011",561
..East South Central,"7,466",325,321,580,463,520,475,427,424,327,282,305,314,326,255,185,184,154,226,85,168,166,84,63,72,87,27,58,40,14,53,47,19,38,47,10,6,25,22,4,8,230,"43,029","1,884","62,963","3,872",0.503,0.0234,"25,446","1,630"
..West South Central,"14,298",449,614,727,807,953,856,783,672,701,671,634,463,428,371,533,513,380,247,269,268,298,234,250,142,173,174,89,112,123,102,110,101,37,79,99,69,79,104,37,28,516,"49,407","1,234","68,661","1,811",0.470,0.0104,"26,319",662
West,"27,441",832,820,"1,483","1,267","1,436","1,431","1,045","1,260","1,121","1,152","1,034",912,"1,104",849,841,666,745,657,605,529,587,526,481,434,420,295,344,332,280,268,354,215,127,173,223,152,256,112,126,102,"1,846","59,525","1,257","81,726","1,633",0.474,0.0063,"30,333",577
..Mountain,"8,857",319,255,495,444,507,517,340,384,365,348,340,306,459,288,256,253,211,214,158,194,188,157,132,117,148,108,126,93,93,83,92,48,32,42,57,41,67,48,54,32,447,"56,556","1,679","74,634","2,660",0.461,0.0090,"28,988",920
..Pacific,"18,584",513,565,988,822,928,914,704,877,756,804,694,607,646,561,585,413,534,443,447,335,399,369,349,317,273,187,217,239,186,185,262,167,94,131,166,111,189,65,73,70,"1,399","60,716","1,192","85,106","2,038",0.478,0.0084,"30,933",736
TYPE OF HOUSEHOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family households,"82,270","1,909","1,599","2,335","2,990","3,535","3,618","3,606","3,571","3,592","3,347","3,292","2,925","3,517","2,759","2,915","2,767","2,522","2,270","2,146","1,980","1,978","1,594","1,643","1,335","1,256","1,096","1,109",994,878,934,"1,137",717,701,647,629,534,620,465,371,301,"6,137","66,923",530,"89,446",919,0.447,0.0045,"28,095",300
