"Table with row headers in column A and column headers in rows 8 through 9, 12 through 13, 19 through 20, 35 through 36, 47 through 48, 60 through 61, 71 through 72, 81 through 82, 95 through 96, and 109 through 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HINC-01. Selected Characteristics of Households, by Total Money Income in 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar15.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2015 Annual Social and Economic Supplement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 income intervals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data. Medians falling in the upper open-ended interval are plugged with ""$250,000"".  Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total ,"Under $5,000","$5,000 to  $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value
(Dol.)","Standard
error (Dol.)","Value
(Dol.)","Standard
error (Dol.)",Ratio,"Standard
error","Value
(Dol.)","Standard
error (Dol.)"
All Households,"124,587","4,571","4,320","6,766","6,779","6,865","6,363","6,232","5,857","5,430","5,060","5,084","4,220","4,477","3,709","3,737","3,484","3,142","2,750","2,665","2,339","2,679","2,070","1,922","1,623","1,863","1,452","1,512","1,219","1,290","1,024","1,146",848,875,786,717,607,619,556,485,436,"7,005","53,657",392,"75,738",446,0.480,0.0021,"29,862",183
TYPE OF RESIDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside metropolitan statistical areas,"104,009","3,796","3,480","5,319","5,393","5,590","5,102","5,049","4,782","4,486","4,106","4,200","3,444","3,747","3,000","3,090","2,977","2,613","2,276","2,254","1,958","2,303","1,775","1,674","1,390","1,632","1,286","1,345","1,075","1,114",903,"1,022",770,791,705,637,560,554,499,437,390,"6,486","55,855",353,"78,721",503,0.481,0.0022,"30,784",199
..Inside principal cities,"40,578","1,965","1,826","2,510","2,403","2,487","2,291","2,098","1,979","1,744","1,644","1,621","1,367","1,421","1,058","1,122","1,100",939,778,764,591,806,590,541,454,529,433,425,338,362,302,374,230,281,201,190,164,177,161,127,94,"2,090","47,850",591,"70,413",822,0.503,0.0038,"28,793",339
..Outside principal cities,"63,431","1,831","1,654","2,809","2,990","3,103","2,811","2,951","2,803","2,742","2,463","2,579","2,076","2,326","1,941","1,969","1,877","1,674","1,497","1,490","1,367","1,497","1,185","1,133",936,"1,103",853,920,737,752,601,648,540,510,503,447,396,377,338,310,296,"4,396","61,600",380,"84,036",612,0.465,0.0025,"31,968",228
Outside metropolitan statistical areas (4),"20,578",775,840,"1,446","1,386","1,276","1,261","1,183","1,074",944,953,885,776,731,709,647,507,529,474,410,381,375,295,249,233,231,166,167,144,176,121,125,78,85,81,80,48,65,57,48,46,520,"45,482",522,"60,662",705,0.458,0.0046,"24,960",313
REGION/DIVISIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"22,179",720,774,"1,119","1,135","1,189","1,111","1,074",909,862,793,853,631,776,594,568,656,564,522,483,467,485,406,367,336,344,266,284,211,224,212,257,153,216,182,160,152,139,125,106,111,"1,646","59,210","1,376","83,722","1,192",0.487,0.0047,"33,332",457
..New England,"5,887",177,191,326,297,295,263,225,192,209,214,212,186,206,163,171,167,150,116,133,123,135,112,130,94,84,75,92,77,62,71,76,56,61,56,31,36,36,45,43,25,475,"63,580","1,578","87,938","2,002",0.481,0.0080,"35,660",724
..Middle Atlantic,"16,292",543,583,793,838,894,848,849,717,653,579,640,445,570,431,397,488,415,406,350,343,350,293,237,242,260,192,191,134,163,140,181,97,155,125,130,116,103,80,63,85,"1,172","56,898","1,401","82,199","1,478",0.489,0.0058,"32,512",570
Midwest,"27,459",890,896,"1,416","1,465","1,498","1,387","1,369","1,327","1,255","1,193","1,160",982,"1,028",871,932,820,739,615,610,581,601,498,389,354,392,329,325,257,267,234,225,216,187,164,147,107,136,94,91,98,"1,314","54,267",830,"73,484",861,0.461,0.0041,"30,019",333
..East North Central,"19,027",679,667,"1,013","1,044","1,096",958,969,939,864,815,863,682,727,600,643,542,473,418,409,381,408,313,264,243,289,197,219,166,182,167,126,150,133,98,85,55,99,50,60,64,877,"52,183",647,"71,692","1,109",0.467,0.0052,"29,364",438
..West North Central,"8,431",211,229,403,421,402,430,400,389,391,378,297,300,300,270,288,278,265,196,201,200,193,185,125,111,103,133,106,91,85,67,99,65,55,65,62,52,38,44,31,34,437,"59,360","1,322","77,527","1,434",0.447,0.0056,"31,484",526
South,"47,040","1,977","1,837","2,780","2,749","2,743","2,587","2,387","2,401","2,209","1,970","1,937","1,639","1,652","1,392","1,356","1,239","1,117",961,973,787,958,651,681,562,662,512,515,394,462,344,371,256,270,233,252,192,202,185,170,142,"2,334","49,655",509,"70,991",690,0.488,0.0036,"28,227",272
..South Atlantic,"24,877","1,023",882,"1,493","1,340","1,401","1,304","1,236","1,313","1,166","1,074","1,009",857,867,715,709,629,616,481,488,420,550,312,371,327,364,268,294,217,275,178,209,157,150,127,156,122,121,98,105,80,"1,373","50,825",596,"73,646","1,032",0.489,0.0047,"29,603",400
..East South Central,"7,721",345,400,543,546,501,541,446,371,380,299,264,249,255,266,198,211,160,149,182,114,141,92,88,68,86,72,55,67,48,40,48,25,32,32,22,25,19,29,16,17,278,"41,936",869,"62,177","1,482",0.497,0.0072,"25,884",600
..West South Central,"14,442",609,555,744,862,841,742,705,717,663,597,664,533,530,411,449,398,341,331,304,253,267,246,222,167,212,171,167,109,139,126,114,74,88,74,74,46,62,58,49,45,683,"51,151",638,"71,131","1,123",0.480,0.0064,"27,125",410
West,"27,909",984,812,"1,451","1,431","1,435","1,278","1,403","1,219","1,104","1,103","1,134",968,"1,022",852,882,770,723,653,598,505,635,516,485,371,466,345,388,358,336,235,293,224,203,208,158,156,142,152,117,86,"1,711","57,688",802,"79,613",939,0.474,0.0038,"29,723",367
..Mountain,"9,084",338,316,501,447,454,499,440,432,398,372,413,369,368,302,302,247,221,215,182,195,195,151,177,99,147,91,121,125,76,60,62,79,51,52,51,44,36,25,28,27,376,"53,927","1,198","71,285","1,261",0.457,0.0054,"28,149",533
..Pacific,"18,826",647,497,949,984,981,779,963,787,705,731,721,599,654,550,581,523,502,438,417,309,440,365,308,272,319,253,267,233,259,174,231,145,152,156,107,112,106,127,89,58,"1,335","60,426",762,"83,631","1,182",0.478,0.0047,"30,422",458
TYPE OF HOUSEHOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family households,"81,716","1,951","1,524","2,256","2,837","3,449","3,486","3,623","3,521","3,347","3,386","3,430","2,867","3,203","2,658","2,755","2,659","2,428","2,158","2,085","1,953","2,191","1,652","1,625","1,367","1,565","1,228","1,271","1,049","1,094",857,957,745,729,677,620,535,547,482,438,380,"6,129","68,426",495,"90,391",570,0.444,0.0023,"28,152",196
.Married-couple families,"60,010",820,522,942,"1,311","1,862","2,059","2,227","2,246","2,251","2,217","2,399","2,030","2,322","2,057","2,155","2,089","1,991","1,676","1,694","1,649","1,849","1,418","1,396","1,176","1,389","1,086","1,110",941,987,763,866,668,672,627,578,485,504,454,400,359,"5,763","81,025",411,"103,580",701,0.415,0.0025,"32,385",226
".Male householder, nsp","6,162",198,156,205,287,343,291,387,352,307,317,312,261,310,200,210,228,162,207,156,111,153,83,88,89,71,59,76,43,44,48,35,42,28,24,15,16,22,8,29,7,182,"53,684",998,"68,804","1,435",0.431,0.0095,"21,753",473
".Female householder, nsp","15,544",934,847,"1,108","1,239","1,245","1,136","1,010",922,789,852,718,576,571,402,391,341,275,276,235,194,189,151,140,103,105,83,85,65,63,47,57,35,30,26,27,33,20,20,9,13,183,"36,151",414,"48,028",623,0.455,0.0049,"14,654",203
Nonfamily households,"42,871","2,620","2,795","4,509","3,942","3,416","2,877","2,609","2,336","2,083","1,674","1,654","1,353","1,274","1,051",982,826,715,591,580,386,488,417,298,256,299,224,241,170,196,167,189,103,146,109,97,73,72,74,47,56,877,"32,047",283,"47,809",481,0.498,0.0034,"38,229",392
.Male householder,"20,143","1,120",959,"1,571","1,542","1,347","1,240","1,231","1,203","1,113",818,918,769,660,557,561,459,400,342,327,203,324,230,189,121,184,110,141,91,141,108,119,64,91,59,56,44,44,37,26,29,593,"39,181",679,"55,637",767,0.487,0.0054,"42,036",600
..Living alone,"15,513","1,003",865,"1,446","1,389","1,195","1,041","1,021","1,007",875,608,738,555,478,378,366,273,257,191,192,115,208,111,103,71,99,62,83,61,89,46,75,36,43,41,24,24,22,19,14,6,283,"33,702",658,"47,542",839,0.490,0.0071,"47,542",839
.Female householder,"22,728","1,500","1,837","2,938","2,400","2,068","1,637","1,378","1,133",970,856,736,584,614,493,421,366,315,250,253,183,164,188,109,134,114,114,100,79,55,59,70,39,55,50,41,28,28,37,21,27,284,"26,673",317,"40,871",536,0.497,0.0043,"34,463",441
..Living alone ,"19,353","1,391","1,741","2,838","2,263","1,914","1,490","1,182",994,805,701,589,461,472,339,302,284,210,181,151,124,118,92,59,76,65,62,39,46,35,31,37,6,18,19,15,11,15,24,10,14,130,"23,568",328,"34,429",510,0.476,0.0050,"34,429",510
AGE OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 65 years,"94,640","3,710","3,031","3,859","3,977","4,449","4,187","4,430","4,177","4,011","3,802","3,983","3,288","3,596","2,938","3,023","2,842","2,577","2,232","2,257","1,959","2,296","1,763","1,652","1,362","1,611","1,228","1,298","1,023","1,071",834,991,749,773,674,613,520,526,472,412,389,"6,055","60,462",269,"81,879",533,0.470,0.0023,"29,534",200
..15 to 24 years,"6,370",556,311,502,423,522,442,460,373,359,279,257,243,225,193,175,128,112,92,98,50,68,54,25,32,61,44,37,30,44,12,19,19,19,8,11,9,6,0,10,1,61,"34,605",788,"46,803","1,105",0.477,0.0091,"18,512",449
