"Table with row headers in column A and column headers in rows 8 through 9, 12 through 13, 19 through 20, 35 through 36, 47 through 48, 60 through 61, 71 through 72, 81 through 82, 95 through 96, and 109 through 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HINC-01. Selected Characteristics of Households, by Total Money Income in 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www2.census.gov/programs-surveys/cps/techdocs/cpsmar16.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2016 Annual Social and Economic Supplement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 income intervals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data. Medians falling in the upper open-ended interval are plugged with ""$250,000"".  Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total ,"Under $5,000","$5,000 to  $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value
(Dol.)","Standard
error (Dol.)","Value
(Dol.)","Standard
error (Dol.)",Ratio,"Standard
error","Value
(Dol.)","Standard
error (Dol.)"
All Households,"125,819","4,235","4,071","6,324","6,470","6,765","6,222","6,354","5,743","5,203","5,002","5,078","4,140","4,367","3,733","3,683","3,650","3,354","2,893","2,850","2,452","2,792","2,232","2,158","1,748","1,987","1,675","1,474","1,380","1,220","1,111","1,313","1,017",993,761,822,700,677,536,561,431,"7,640","56,516",321,"79,263",403,0.479,0.0020,"31,304",169
TYPE OF RESIDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside metropolitan statistical areas,"107,615","3,577","3,265","5,065","5,250","5,580","5,107","5,308","4,755","4,338","4,264","4,253","3,477","3,773","3,190","3,098","3,176","2,887","2,482","2,471","2,136","2,461","1,978","1,904","1,541","1,792","1,469","1,335","1,246","1,078",990,"1,200",922,907,706,769,648,622,489,516,400,"7,191","59,258",474,"82,402",469,0.478,0.0022,"32,344",193
..Inside principal cities,"42,615","1,798","1,801","2,417","2,260","2,463","2,170","2,222","1,964","1,829","1,771","1,696","1,344","1,482","1,155","1,173","1,226","1,017",848,897,765,848,702,599,538,607,489,450,404,332,337,403,299,318,234,256,215,183,195,172,135,"2,601","51,378",393,"76,291",738,0.503,0.0033,"31,376",318
..Outside principal cities,"65,000","1,778","1,464","2,648","2,990","3,117","2,937","3,086","2,791","2,510","2,494","2,557","2,133","2,291","2,035","1,925","1,950","1,870","1,634","1,574","1,371","1,613","1,276","1,304","1,003","1,185",979,884,842,746,653,797,624,589,472,513,433,439,293,344,265,"4,590","64,144",578,"86,408",673,0.461,0.0031,"32,932",257
Outside metropolitan statistical areas (4),"18,204",659,806,"1,259","1,220","1,185","1,115","1,046",988,865,738,825,663,594,543,585,474,467,411,379,316,331,254,254,208,195,206,139,134,142,121,113,95,86,55,53,52,55,47,45,32,449,"44,657",938,"60,708",716,0.460,0.0045,"24,884",324
REGION/DIVISIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"22,347",675,687,"1,154","1,124","1,082","1,016","1,039",964,803,758,774,674,742,629,641,609,566,547,506,444,544,384,431,345,384,377,300,261,224,243,277,236,187,160,162,180,155,97,119,98,"1,749","62,182",816,"87,011","1,149",0.482,0.0046,"34,814",452
..New England,"5,968",177,165,310,291,245,272,274,200,207,196,205,164,217,194,175,166,128,147,148,111,169,105,117,73,107,76,88,89,71,70,67,65,56,52,62,34,41,30,39,40,525,"66,594","1,511","91,955","2,024",0.483,0.0078,"37,468",790
..Middle Atlantic,"16,379",498,522,844,833,837,744,765,764,596,562,568,511,526,435,466,442,438,399,359,333,375,279,315,271,277,302,212,172,153,174,210,170,131,108,100,146,114,66,81,58,"1,224","61,053",864,"85,209","1,359",0.481,0.0058,"33,871",530
Midwest,"27,455",770,876,"1,303","1,391","1,354","1,363","1,435","1,269","1,182","1,152","1,237",923,942,866,881,832,761,631,660,558,688,521,474,356,457,376,317,329,330,238,256,216,230,154,180,139,124,105,123,81,"1,373","57,082",812,"76,763",849,0.456,0.0039,"31,424",336
..East North Central,"18,950",566,629,890,970,971,997,"1,002",903,799,797,881,652,682,568,603,548,504,428,459,352,467,355,282,234,320,249,218,202,243,135,167,167,159,106,120,100,79,76,80,62,926,"55,511",920,"75,316","1,081",0.458,0.0045,"30,863",437
..West North Central,"8,505",204,247,413,421,382,366,432,367,383,355,356,271,260,297,278,285,256,203,202,207,221,166,192,123,137,127,99,127,87,103,90,49,72,48,60,39,46,28,42,19,447,"61,101","1,615","79,988","1,466",0.453,0.0073,"32,671",552
South,"47,822","1,946","1,726","2,630","2,714","2,922","2,572","2,585","2,159","2,045","2,002","1,983","1,590","1,691","1,345","1,296","1,308","1,247","1,011","1,028",851,899,794,785,606,670,583,515,416,393,390,464,310,327,243,269,216,248,183,176,138,"2,545","51,174",378,"73,687",634,0.489,0.0032,"29,349",256
..South Atlantic,"25,325","1,005",847,"1,370","1,418","1,617","1,309","1,295","1,097","1,057","1,083","1,018",846,883,706,703,660,667,564,554,467,484,437,434,340,308,340,280,227,220,219,253,190,198,140,159,100,152,89,107,95,"1,386","52,044",576,"74,951","1,037",0.486,0.0047,"30,415",411
..East South Central,"7,747",331,365,532,501,480,473,461,395,377,303,356,250,251,192,185,180,202,166,189,149,120,101,119,68,112,62,75,53,52,34,49,44,31,19,30,27,28,29,15,9,328,"44,126","1,365","65,198","1,486",0.496,0.0083,"26,904",628
..West South Central,"14,750",610,514,727,795,825,790,829,667,610,616,608,493,556,448,408,469,377,281,285,234,296,255,233,198,250,181,160,136,121,137,162,76,97,84,80,89,68,65,55,34,831,"52,539",984,"75,977","1,301",0.490,0.0061,"28,817",489
West,"28,195",843,782,"1,237","1,241","1,408","1,272","1,296","1,351","1,174","1,090","1,084",952,991,894,865,901,780,705,656,599,661,534,467,442,476,339,342,374,273,240,317,255,248,203,211,165,150,151,143,114,"1,973","61,442",575,"85,015",909,0.474,0.0043,"31,709",343
..Mountain,"9,100",280,229,397,434,494,445,458,498,415,400,407,318,323,326,284,302,265,221,216,190,197,175,150,157,154,138,89,99,66,69,85,60,81,56,46,49,31,32,38,20,405,"56,161","1,061","75,513","1,252",0.453,0.0067,"29,565",463
..Pacific,"19,095",563,553,840,807,914,826,837,853,758,690,677,634,668,568,580,599,516,484,440,409,464,359,317,284,322,201,253,274,207,171,232,195,167,147,166,116,118,120,105,94,"1,568","64,210","1,359","89,543","1,214",0.480,0.0055,"32,661",469
TYPE OF HOUSEHOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family households,"82,184","1,709","1,406","2,073","2,693","3,237","3,458","3,556","3,445","3,230","3,160","3,287","2,838","2,944","2,659","2,772","2,752","2,500","2,288","2,231","1,957","2,132","1,863","1,779","1,501","1,632","1,357","1,211","1,213","1,012",935,"1,111",857,851,631,705,602,611,449,497,364,"6,676","72,165",369,"94,379",523,0.441,0.0025,"29,394",180
