"Table with row headers in column A and column headers in rows 8 through 9, 12 through 13, 19 through 20, 35 through 36, 47 through 48, 60 through 61, 71 through 72, 81 through 82, 95 through 96, and 109 through 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HINC-01. Selected Characteristics of Households, by Total Money Income in 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data reflect the implementation of an updated processing system that incorporates content from earlier questionnaire redesigns related to income, health insurance, and demographics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <www2.census.gov/programs-surveys/cps/techdocs/cpsmar18.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2018 Annual Social and Economic Supplement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 income intervals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data. Medians falling in the upper open-ended interval are plugged with ""$250,000"".  Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total ,"Under $5,000","$5,000 to  $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value
(Dol.)","Standard
error (Dol.)","Value
(Dol.)","Standard
error (Dol.)",Ratio,"Standard
error","Value
(Dol.)","Standard
error (Dol.)"
All Households,"127,669","4,371","3,295","5,825","6,047","6,097","5,738","6,100","5,720","5,098","4,991","5,152","4,194","4,411","3,709","3,811","3,766","3,565","3,035","2,753","2,644","2,692","2,180","2,278","1,932","1,992","1,656","1,547","1,424","1,342","1,134","1,489","1,006","1,085",784,869,849,730,688,697,508,"10,466","61,136",322,"87,643",570,0.489,0.0022,"34,640",222
TYPE OF RESIDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside metropolitan statistical areas,"109,804","3,696","2,671","4,734","4,851","4,958","4,769","5,055","4,817","4,286","4,239","4,323","3,584","3,753","3,168","3,243","3,224","3,092","2,635","2,410","2,305","2,398","1,932","2,017","1,673","1,788","1,500","1,405","1,272","1,204","1,030","1,366",925,966,721,789,767,672,648,635,474,"9,807","63,592",516,"91,222",626,0.489,0.0023,"35,781",244
..Inside principal cities,"42,573","1,844","1,364","2,332","2,218","2,263","1,993","2,024","2,083","1,845","1,670","1,659","1,393","1,423","1,154","1,211","1,177","1,106",987,819,746,833,634,634,582,621,498,434,430,462,334,450,289,277,213,266,225,206,230,190,168,"3,286","54,959",775,"83,430",991,0.514,0.0039,"34,156",412
..Outside principal cities,"67,230","1,852","1,307","2,402","2,633","2,695","2,776","3,031","2,734","2,442","2,569","2,664","2,192","2,330","2,013","2,032","2,048","1,986","1,648","1,591","1,559","1,565","1,298","1,383","1,091","1,167","1,002",971,843,742,696,916,636,689,508,523,542,466,418,445,306,"6,521","69,922",639,"96,156",862,0.471,0.0031,"36,741",331
Outside metropolitan statistical areas (4),"17,865",675,623,"1,092","1,195","1,138",969,"1,044",902,811,752,829,610,658,541,568,541,473,400,344,339,294,248,261,258,203,156,143,151,138,104,123,82,120,63,80,82,58,40,62,35,658,"47,947",917,"65,643","1,028",0.467,0.0053,"27,226",416
REGION/DIVISIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"22,513",723,572,"1,108","1,006",959,928,974,953,823,794,874,690,767,590,609,708,568,566,502,415,431,341,389,381,401,298,284,266,243,232,279,220,182,164,192,150,133,115,160,111,"2,413","65,593","1,013","98,157","1,644",0.508,0.0059,"39,430",645
..New England,"6,106",158,175,287,274,244,237,275,210,185,191,198,176,178,177,189,202,156,135,133,126,143,105,110,102,133,106,77,70,76,67,91,56,42,64,51,44,41,56,45,38,682,"71,954","1,531","99,784","2,245",0.485,0.0079,"41,534",902
