"Table with row headers in column A and column headers in rows 8 through 9, 12 through 13, 19 through 20, 35 through 36, 47 through 48, 60 through 61, 71 through 72, 81 through 82, 95 through 96, and 109 through 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HINC-01. Selected Characteristics of Households, by Total Money Income in 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data reflect the implementation of an updated processing system that incorporates content from earlier questionnaire redesigns related to income, health insurance, and demographics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <www2.census.gov/programs-surveys/cps/techdocs/cpsmar19.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2019 Annual Social and Economic Supplement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 income intervals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data. Medians falling in the upper open-ended interval are plugged with ""$250,000"".  Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total ,"Under $5,000","$5,000 to  $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value
(Dol.)","Standard
error (Dol.)","Value
(Dol.)","Standard
error (Dol.)",Ratio,"Standard
error","Value
(Dol.)","Standard
error (Dol.)"
All Households,"128,579","4,283","3,337","5,510","5,772","5,672","5,469","5,822","5,404","5,195","4,839","5,300","4,417","4,604","3,999","3,795","3,950","3,349","3,064","3,102","2,581","2,866","2,449","2,318","1,971","2,004","1,780","1,678","1,426","1,414","1,316","1,492",978,"1,161",970,905,835,772,686,584,565,"10,946","63,179",420,"90,021",546,0.486,0.0021,"35,702",213
TYPE OF RESIDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside metropolitan statistical areas,"110,789","3,540","2,691","4,466","4,698","4,628","4,493","4,886","4,501","4,411","4,076","4,420","3,745","3,950","3,396","3,272","3,511","2,880","2,687","2,647","2,214","2,536","2,128","2,029","1,744","1,809","1,565","1,494","1,305","1,266","1,197","1,347",864,"1,082",897,840,781,698,627,546,541,"10,378","66,164",370,"93,997",630,0.486,0.0023,"36,951",240
..Inside principal cities,"42,983","1,771","1,302","2,119","2,006","2,074","1,905","2,006","1,845","1,774","1,653","1,705","1,493","1,525","1,289","1,194","1,310","1,091",970,863,761,938,747,641,621,647,537,488,489,392,362,495,288,378,307,228,253,257,213,177,174,"3,696","59,358",744,"88,040","1,008",0.508,0.0038,"36,090",412
..Outside principal cities,"67,806","1,769","1,389","2,347","2,692","2,554","2,588","2,880","2,655","2,636","2,424","2,715","2,252","2,426","2,108","2,078","2,202","1,789","1,717","1,784","1,453","1,598","1,381","1,388","1,123","1,163","1,029","1,006",816,874,836,852,576,705,590,612,527,440,414,370,367,"6,682","70,928",460,"97,773",764,0.471,0.0032,"37,461",293
Outside metropolitan statistical areas (4),"17,790",743,646,"1,044","1,074","1,043",975,936,903,784,763,880,672,653,603,523,438,469,377,456,367,330,321,289,227,195,215,184,121,147,119,144,114,79,73,65,55,75,59,38,24,568,"49,867",990,"65,263",941,0.456,0.0055,"27,398",407
REGION/DIVISIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"22,054",671,601,894,878,887,909,947,815,819,707,898,643,735,606,640,620,539,570,537,407,487,424,400,355,373,318,292,224,267,262,277,170,230,170,191,155,204,129,135,119,"2,548","70,113","1,146","102,204","1,574",0.501,0.0052,"40,737",592
..New England,"6,008",142,149,228,234,223,226,268,196,211,208,245,176,154,139,166,135,150,166,164,138,134,114,117,127,98,86,86,73,76,81,87,59,63,49,64,43,75,48,40,38,730,"76,358","1,886","106,251","2,734",0.485,0.0085,"43,606","1,036"
..Middle Atlantic,"16,046",529,452,667,644,664,683,679,618,609,499,653,467,580,467,475,485,390,404,373,268,353,311,283,228,275,232,206,151,191,181,190,110,166,121,127,112,128,80,95,81,"1,819","67,674","1,460","100,688","1,803",0.506,0.0063,"39,705",693
Midwest,"27,686",710,677,"1,187","1,223","1,185","1,203","1,231","1,138","1,111","1,139","1,145","1,016","1,021",910,871,847,720,687,792,602,639,570,544,437,441,424,347,337,339,260,335,214,272,251,192,181,166,133,127,137,"1,923","64,069",878,"87,037","1,055",0.463,0.0051,"35,636",399
..East North Central,"18,969",557,414,883,873,797,828,842,760,797,778,809,682,714,625,581,586,496,453,574,360,445,399,364,309,303,278,220,229,230,165,230,130,186,187,110,112,104,91,88,87,"1,289","62,682","1,033","85,986","1,355",0.466,0.0067,"35,159",503
..West North Central,"8,717",154,263,304,350,388,376,388,378,314,361,336,334,308,284,290,261,224,233,218,242,194,171,180,129,138,146,126,108,109,96,105,83,86,64,81,69,62,42,39,49,635,"66,931","1,274","89,324","1,652",0.454,0.0070,"36,680",707
