"Table with row headers in column A and column headers in rows 8 through 9, 12 through 13, 19 through 20, 35 through 36, 47 through 48, 60 through 61, 71 through 72, 81 through 82, 95 through 96, and 109 through 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINC-01. Selected Characteristics of Households by Total Money Income in 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar20.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2020 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 intervals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data. Medians falling in the upper open-ended interval are plugged with ""$250,000"". Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Value   (Dol.),Standard error (Dol.),Value   (Dol.),Standard error (Dol.),Ratio,Standard error,Value   (Dol.),Standard error
All households,"128,451","3,784","2,702","5,141","5,171","5,066","5,247","5,457","4,702","5,377","4,972","4,885","4,364","4,531","3,655","3,807","3,549","3,402","3,013","3,023","2,817","2,852","2,491","2,413","1,965","2,393","1,785","1,778","1,582","1,400","1,311","1,721","1,208","1,260","1,008","1,251",997,908,820,828,647,"13,170","68,703",550,"98,088",633,0.484,0.0022,"38,761",249
Type of Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside metropolitan statistical areas,"110,679","3,167","2,176","4,139","4,147","4,101","4,332","4,501","3,927","4,472","4,153","4,135","3,654","3,828","3,103","3,257","3,092","2,919","2,604","2,614","2,476","2,522","2,149","2,100","1,758","2,151","1,600","1,550","1,474","1,247","1,177","1,585","1,111","1,133",919,"1,149",903,835,730,766,594,"12,431","71,961",425,"102,518",722,0.484,0.0024,"40,145",280
..Inside principal cities,"42,992","1,616","1,167","1,868","1,864","1,696","1,877","1,796","1,606","1,916","1,666","1,749","1,432","1,491","1,172","1,315","1,195","1,181",949,846,871,902,720,733,630,772,510,533,521,483,404,551,413,364,286,372,274,273,249,282,207,"4,239","63,745",964,"95,086","1,127",0.502,0.0039,"38,995",477
..Outside principal cities,"67,687","1,550","1,009","2,271","2,283","2,405","2,455","2,705","2,321","2,557","2,487","2,386","2,222","2,336","1,931","1,942","1,898","1,738","1,655","1,768","1,605","1,620","1,429","1,366","1,128","1,379","1,090","1,017",953,763,773,"1,034",698,768,633,777,630,561,480,484,387,"8,191","77,170",621,"107,239",936,0.471,0.0031,"40,824",348
Outside metropolitan statistical areas,"17,772",617,526,"1,002","1,024",964,915,956,774,904,819,750,710,703,551,550,457,483,409,409,341,330,342,313,208,242,186,228,108,154,134,136,97,127,89,102,94,73,90,62,53,740,"52,100",699,"70,494",936,0.458,0.0050,"29,534",401
Region/Divisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"22,031",621,472,902,856,859,831,838,721,759,650,781,679,667,605,619,579,517,500,513,465,585,436,403,329,421,299,313,294,250,212,313,259,249,207,251,173,201,156,134,135,"2,978","76,221","1,187","109,926","1,712",0.496,0.0059,"43,943",680
..New England,"5,979",129,97,223,223,230,192,176,209,191,162,232,162,168,203,147,152,131,174,141,135,142,83,111,102,119,93,100,74,77,71,85,68,85,70,68,46,81,55,40,52,880,"83,114","2,371","116,717","2,252",0.482,0.0079,"47,304",902
..Middle Atlantic,"16,052",492,374,679,633,629,639,662,512,568,488,548,518,499,402,472,427,386,327,371,331,443,353,292,227,302,205,213,221,174,141,228,191,163,137,183,127,120,102,94,84,"2,098","73,886","1,659","107,396","2,163",0.501,0.0075,"42,714",847
Midwest,"27,757",659,609,"1,056","1,001","1,092","1,134","1,256","1,026","1,218","1,194","1,077",954,"1,022",817,888,805,782,683,701,666,591,580,535,410,597,406,419,331,324,237,325,278,276,227,273,238,174,210,172,145,"2,367","68,354","1,109","94,011","1,160",0.465,0.0052,"38,610",462
..East North Central,"19,070",489,437,780,707,760,776,849,669,848,789,724,665,736,576,617,528,509,425,469,448,399,380,399,254,420,274,273,233,206,163,239,210,179,145,185,153,129,148,115,104,"1,659","67,380","1,249","94,782","1,595",0.475,0.0065,"38,954",631
..West North Central,"8,686",170,172,276,294,332,358,407,357,370,405,353,289,286,241,271,277,273,259,231,218,192,200,136,156,178,132,146,98,118,74,86,68,97,82,88,85,45,62,57,41,709,"70,570","1,342","92,319","1,556",0.443,0.0066,"37,857",597
South,"49,486","1,726","1,187","2,255","2,219","2,093","2,175","2,238","1,959","2,278","2,045","1,981","1,750","1,813","1,410","1,429","1,345","1,308","1,140","1,097","1,039","1,047",910,900,727,778,624,597,505,491,523,674,385,445,323,413,316,305,260,286,205,"4,284","61,884",466,"90,415",983,0.491,0.0037,"35,978",391
